Longitude,Latitude,Time,Temperature,elevation
10.1920182,46.6431291,2019-06-24T20:00:32Z,14,2048
10.2078765,46.6633788,2019-06-24T22:00:33Z,9,1784
10.2078765,46.6633788,2019-06-25T02:01:10Z,10.5,1784
10.1852324,46.6410885,2019-06-25T06:00:57Z,18,1847
10.1801131,46.6393576,2019-06-25T10:01:08Z,29,1691
10.1801131,46.6393576,2019-06-25T14:01:10Z,29.5,1691
10.1852093,46.6409995,2019-06-25T18:00:33Z,24.5,1847
10.1799716,46.6383582,2019-06-25T20:00:33Z,11.5,1680
10.1852162,46.6410682,2019-06-25T22:01:10Z,22.5,1847
10.1834938,46.627472,2019-06-26T02:01:08Z,23,2003
10.191647,46.637615,2019-06-26T06:01:10Z,27,1893
10.191647,46.637615,2019-06-26T10:01:10Z,25.5,1893
10.191647,46.637615,2019-06-26T14:01:10Z,28,1893
10.1990324,46.6487343,2019-06-26T18:01:07Z,17.5,2190
10.1990324,46.6487343,2019-06-26T20:01:10Z,15.5,2190
10.1990324,46.6487343,2019-06-26T22:01:10Z,14,2190
10.1852116,46.6409997,2019-06-27T02:00:59Z,22,1847
10.1851401,46.6410902,2019-06-27T06:00:33Z,23.5,1847
10.1851401,46.6410902,2019-06-27T10:01:10Z,28,1847
10.1854653,46.6410539,2019-06-27T14:00:38Z,31,1847
10.1854716,46.6411638,2019-06-27T18:00:35Z,24,1847
10.1851717,46.6410983,2019-06-27T20:00:33Z,24.5,1847
10.185345,46.6409588,2019-06-27T22:00:33Z,18,1839
10.1628193,46.6189567,2019-06-28T02:01:07Z,13.5,2651
10.185119,46.6412536,2019-06-28T06:00:33Z,22,1847
10.1852211,46.6410265,2019-06-28T10:00:52Z,31,1847
10.185127,46.6411089,2019-06-28T14:00:36Z,28,1847
10.2019739,46.6181729,2019-06-28T18:01:06Z,26.5,1971
10.2000831,46.6615904,2019-06-28T20:00:36Z,12.5,1766
10.1851997,46.6409236,2019-06-28T22:00:33Z,12,1839
10.1849664,46.6409078,2019-06-29T02:00:36Z,23,1839
10.1867453,46.6394192,2019-06-29T06:01:10Z,19.5,1874
10.1867453,46.6394192,2019-06-29T10:01:10Z,27.5,1874
10.1864481,46.640564,2019-06-29T14:00:36Z,28,1880
10.1851579,46.6410844,2019-06-29T18:00:33Z,28.5,1847
10.1916912,46.6521577,2019-06-29T20:00:47Z,15.5,1827
10.1916912,46.6521577,2019-06-29T22:01:10Z,16,1827
10.1852386,46.6411678,2019-06-30T02:00:33Z,26,1847
10.1851361,46.6409311,2019-06-30T06:01:05Z,20.5,1839
10.1998051,46.6539878,2019-06-30T10:01:10Z,32,1992
